,player_name,position,team_display,opponent,prop_type,sportsbook,line,price,model_prediction,sigma,p_win_pct,edge_pct,roi_pct,kelly_pct,stake,recommendation
115,Hunter Henry,RB,BAL,ATL,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
116,Mark Andrews,TE,BAL,ATL,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
117,Chris Godwin,WR,GB,DET,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
118,Emanuel Wilson,RB,GB,DET,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
119,Javonte Smith,WR,GB,DET,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
120,Mark Andrews,WR,GB,DET,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
121,Devon Achane,RB,MIA,LV,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
122,Keaton Mitchell,RB,MIA,LV,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
123,Ollie Gordon II,TE,MIA,LV,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
124,Tyreek Hill,WR,MIA,LV,Receiving Yards,SimBook,30,-110,94.83433119867438,42.65000848486248,93.57631264258018,41.19536026162779,78.64568777219851,2,20,BET
125,Alexander Mattison,TE,ATL,BAL,Receiving Yards,SimBook,30,-110,94.63350381142453,42.65000848486248,93.51694186309814,41.13598948214576,78.53234355682375,2,20,BET
126,Bijan Robinson,RB,ATL,BAL,Receiving Yards,SimBook,30,-110,94.63350381142453,42.65000848486248,93.51694186309814,41.13598948214576,78.53234355682375,2,20,BET
127,Breece Hall,RB,ATL,BAL,Receiving Yards,SimBook,30,-110,94.63350381142453,42.65000848486248,93.51694186309814,41.13598948214576,78.53234355682375,2,20,BET
128,Rachaad White,TE,ATL,BAL,Receiving Yards,SimBook,30,-110,94.63350381142453,42.65000848486248,93.51694186309814,41.13598948214576,78.53234355682375,2,20,BET
129,Tyler Allgeier,RB,ATL,BAL,Receiving Yards,SimBook,30,-110,94.63350381142453,42.65000848486248,93.51694186309814,41.13598948214576,78.53234355682375,2,20,BET
130,D.J. Moore,WR,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
131,Drake London,RB,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
132,JuJu Smith,TE,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
133,Leonard Fournette,RB,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
134,Michael Pittman,TE,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
135,Noah Fant,TE,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
136,Rashod Penny,RB,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
137,Rashod White,RB,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
138,Zach Pascal,RB,NO,NYG,Receiving Yards,SimBook,30,-110,94.56656134900793,42.65000848486248,93.49705720513526,41.116104824182884,78.49438193707643,2,20,BET
139,Alvin Kamara,RB,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
140,Cam Akers,RB,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
141,C.J. Stroud,RB,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
142,Cole Kmet,TE,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
143,D.J. Moore,TE,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
144,Justin Jefferson,WR,MIN,NE,Receiving Yards,SimBook,30,-110,94.4326764241747,42.65000848486248,93.45714591149527,41.076193530542895,78.41818764921827,2,20,BET
