name,position,team,age_2024,2023_rush_yds,2023_rec_yds,2024_proj_rush,2024_proj_rec,2024_proj_total,rush_change,rec_change
Demario Douglas,WR,NWE,24,41,561,41,592,634,0,31
Zay Flowers,WR,BAL,24,56,858,56,979,1036,0,121
Xavier Gipson,WR,NYJ,23,68,229,67,263,331,-1,34
Velus Jones Jr.,WR,CHI,27,51,20,50,23,74,-1,3
Dare Ogunbowale,RB,HOU,30,35,18,34,15,49,-1,-3
Ihmir Smith-Marsette,WR,CAR,25,74,51,74,80,155,0,29
Deven Thompkins,WR,TAM,25,56,83,56,153,209,0,70
Kalif Raymond,WR,DET,30,75,489,75,439,514,0,-50
Curtis Samuel,WR,WAS,28,39,613,41,640,681,2,27
Tyler Scott,WR,CHI,23,41,168,42,167,209,1,-1
Rashid Shaheed,WR,NOR,26,37,719,38,550,588,1,-169
Tyrion Davis-Price,RB,SFO,24,21,0,20,0,20,-1,0
Tyreek Hill,WR,MIA,30,15,1799,14,1675,1689,-1,-124
Hunter Luepke,RB,DAL,24,19,18,18,19,37,-1,1
Tutu Atwell,WR,LAR,25,31,483,31,482,513,0,-1
Lynn Bowden Jr.,WR,NOR,27,32,83,32,99,131,0,16
Harrison Bryant,TE,CLE,26,8,81,8,134,143,0,53
Treylon Burks,WR,TEN,24,18,221,17,188,206,-1,-33
Brandin Cooks,WR,DAL,31,35,657,35,647,683,0,-10
Erik Ezukanma,WR,MIA,24,22,0,21,0,21,-1,0
Xavier Hutchinson,WR,HOU,24,49,90,49,95,145,0,5
Kene Nwangwu,RB,MIN,26,13,0,12,0,12,-1,0
Brandon Powell,WR,MIN,29,17,324,17,380,397,0,56
Jamal Agnew,WR,JAX,29,-2,225,0,219,218,2,-6
Brandon Bolden,RB,LVR,34,31,0,32,0,32,1,0
Elijah Dotson,RB,LAC,25,6,13,6,10,17,0,-3
Devin Duvernay,WR,BAL,27,15,18,15,25,41,0,7
Chris Godwin,WR,TAM,28,38,1024,41,1001,1043,3,-23
Marquise Goodwin,WR,CLE,34,33,67,34,38,73,1,-29
Deonte Harty,WR,BUF,27,0,150,0,228,228,0,78
Jakobi Meyers,WR,LVR,28,24,807,24,863,887,0,56
D.J. Moore,WR,CHI,27,21,1364,21,1079,1100,0,-285
Amon-Ra St. Brown,WR,DET,25,24,1515,24,1668,1692,0,153
Christian Watson,WR,GNB,25,11,422,11,422,433,0,0
Garrett Wilson,WR,NYJ,24,0,1042,0,1072,1072,0,30
DeAndre Carter,WR,LVR,31,18,39,17,35,53,-1,-4
Ja'Marr Chase,WR,CIN,24,-6,1216,0,1112,1108,6,-104
Gerald Everett,TE,LAC,30,10,411,9,489,499,-1,78
Derrick Gore,RB,WAS,30,26,0,25,0,25,-1,0
Quentin Johnston,WR,LAC,23,9,431,9,479,488,0,48
Cole Kmet,TE,CHI,25,2,719,1,793,795,-1,74
Zonovan Knight,RB,DET,23,13,8,13,10,24,0,2
Ray-Ray McCloud,WR,SFO,28,30,135,29,168,198,-1,33
Isaiah McKenzie,WR,IND,29,14,82,14,105,120,0,23
Bo Melton,WR,GNB,25,21,218,21,195,217,0,-23
Ty Montgomery,RB,NWE,31,9,40,9,43,52,0,3
Skyy Moore,WR,KAN,24,23,244,23,257,281,0,13
Devine Ozigbo,RB,DET,28,5,8,5,9,14,0,1
Trey Palmer,WR,TAM,23,22,385,21,496,517,-1,111
George Pickens,WR,PIT,23,18,1140,17,772,790,-1,-368
Tyquan Thornton,WR,NWE,24,51,91,44,172,216,-7,81
Jaylen Waddle,WR,MIA,26,12,1014,11,920,932,-1,-94
Jonathan Ward,RB,TEN,27,11,0,10,0,10,-1,0
Jameson Williams,WR,DET,23,29,354,28,310,339,-1,-44
Keenan Allen,WR,LAC,32,6,1243,6,1248,1254,0,5
Tyler Boyd,WR,CIN,30,11,667,11,771,782,0,104
Marquise Brown,WR,ARI,27,23,574,24,549,573,1,-25
D'Wayne Eskridge,WR,SEA,27,5,0,5,0,5,0,0
Chris Evans,RB,CIN,27,12,-1,11,10,22,-1,11
Jake Funk,RB,IND,26,10,12,10,9,20,0,-3
DeAndre Hopkins,WR,TEN,32,9,1057,9,936,945,0,-121
Charlie Jones,WR,CIN,26,13,64,13,97,110,0,33
Darnell Mooney,WR,CHI,27,5,414,5,414,419,0,0
Chris Moore,WR,TEN,31,39,424,37,335,373,-2,-89
Chigoziem Okonkwo,TE,TEN,25,6,528,6,564,570,0,36
Ben Skowronek,WR,LAR,27,9,66,9,78,87,0,12
Kenyan Drake,RB,2TM,30,0,31,0,15,15,0,-16
Jordan Addison,WR,MIN,22,2,911,2,876,878,0,-35
Mark Andrews,TE,BAL,29,0,544,0,493,493,0,-51
Rashod Bateman,WR,BAL,25,18,367,20,399,419,2,32
Braxton Berrios,WR,MIA,29,11,238,10,365,376,-1,127
Jake Bobo,WR,SEA,26,3,196,3,233,236,0,37
Kendrick Bourne,WR,NWE,29,4,406,3,459,463,-1,53
Dyami Brown,WR,WAS,25,0,168,0,165,165,0,-3
Noah Brown,WR,HOU,28,-1,567,0,445,444,1,-122
Nico Collins,WR,HOU,25,7,1297,7,1049,1056,0,-248
Tyler Conklin,TE,NYJ,29,0,621,0,598,598,0,-23
Jashaun Corbin,RB,NYG,24,1,12,1,22,23,0,10
Gabriel Davis,WR,BUF,25,-2,746,0,657,654,2,-89
Stefon Diggs,WR,BUF,31,5,1183,5,1203,1208,0,20
Greg Dortch,WR,ARI,26,5,280,5,295,300,0,15
Dallas Goedert,TE,PHI,29,1,592,1,601,602,0,9
Kylen Granson,TE,IND,26,2,368,2,297,299,0,-71
Noah Gray,TE,KAN,25,1,305,1,294,295,0,-11
Mecole Hardman,WR,2TM,26,3,124,3,230,233,0,106
Peyton Hendershot,TE,DAL,25,0,38,0,39,39,0,1
Connor Heyward,TE,PIT,25,0,167,0,223,223,0,56
KhaDarel Hodge,WR,ATL,29,0,232,0,227,227,0,-5
Evan Hull,RB,IND,24,1,6,1,10,11,0,4
Rakim Jarrett,WR,TAM,23,0,60,0,43,43,0,-17
Justin Jefferson,WR,MIN,25,-12,1074,0,812,800,12,-262
Van Jefferson,WR,2TM,28,4,209,3,249,253,-1,40
Christian Kirk,WR,JAX,28,6,787,5,672,678,-1,-115
George Kittle,TE,SFO,31,2,1020,2,807,809,0,-213
Cooper Kupp,WR,LAR,31,-3,737,0,701,698,3,-36
Sam LaPorta,TE,DET,23,4,889,3,883,887,-1,-6
John Metchie,WR,HOU,24,4,158,4,195,199,0,37
Josh Palmer,WR,LAC,25,6,581,6,469,475,0,-112
Kyle Pitts,TE,ATL,24,-4,667,0,599,595,4,-68
Jalen Reagor,WR,NWE,25,17,138,17,121,138,0,-17
Rashee Rice,WR,KAN,24,-3,938,0,994,991,3,56
Demarcus Robinson,WR,LAR,30,23,371,24,364,389,1,-7
James Robinson,RB,GNB,26,2,-2,2,10,12,0,12
Khalil Shakir,WR,BUF,24,10,611,10,496,506,0,-115
Sterling Shepard,WR,NYG,31,6,57,5,90,96,-1,33
Steven Sims,WR,HOU,27,1,25,1,20,21,0,-5
Jonnu Smith,TE,ATL,29,0,582,0,519,519,0,-63
Trent Taylor,WR,CHI,30,-2,0,0,0,0,2,0
Adam Thielen,WR,CAR,34,6,1014,5,1061,1067,-1,47
Logan Thomas,TE,WAS,33,2,496,2,618,620,0,122
